2026-04-04 23:23:16,935 | INFO | quizmind | {"event": "embedding.provider", "provider": "remote", "model": "Qwen/Qwen3-Embedding-8B"}
2026-04-04 23:23:18,112 | INFO | quizmind | {"event": "memory.load_store.start"}
2026-04-04 23:23:18,985 | INFO | quizmind | {"event": "memory.load_store.success", "duration_ms": 872.75}
2026-04-04 23:23:18,985 | INFO | quizmind | {"event": "service.parse_content.start", "source_type": "text"}
2026-04-04 23:23:18,985 | INFO | quizmind | {"event": "llm.cache_miss", "operation": "parse_content", "key": "parse_content_b8164847c7768bf98be2dbe0f85d83e8c5d4f7d57ab8198e024704c8023db1fe"}
2026-04-04 23:23:18,986 | INFO | quizmind | {"event": "llm.invoke.start", "operation": "parse_content", "model": "Pro/deepseek-ai/DeepSeek-V3.2"}
2026-04-04 23:24:09,699 | INFO | quizmind | {"event": "llm.invoke.success", "duration_ms": 50713.36, "operation": "parse_content", "model": "Pro/deepseek-ai/DeepSeek-V3.2"}
2026-04-04 23:24:09,700 | INFO | quizmind | {"event": "parse_content.fallback", "reason": "invalid literal for int() with base 10: '高'"}
2026-04-04 23:24:09,701 | INFO | quizmind | {"event": "service.parse_content.success", "duration_ms": 50715.84, "source_type": "text"}
2026-04-04 23:24:09,701 | INFO | quizmind | {"event": "service.generate_from_source.start", "source_type": "text"}
2026-04-04 23:24:09,701 | INFO | quizmind | {"event": "llm.cache_miss", "operation": "generate_quiz_from_source", "key": "generate_quiz_from_source_6e0b647b70b0e99d00309224dcfe58078f359cd15d6177a62870d817a8fbe0af"}
2026-04-04 23:24:09,702 | INFO | quizmind | {"event": "llm.invoke.start", "operation": "generate_quiz_from_source", "model": "Pro/deepseek-ai/DeepSeek-V3.2"}
2026-04-04 23:25:08,564 | INFO | quizmind | {"event": "llm.invoke.success", "duration_ms": 58862.55, "operation": "generate_quiz_from_source", "model": "Pro/deepseek-ai/DeepSeek-V3.2"}
2026-04-04 23:25:08,565 | INFO | quizmind | {"event": "service.generate_from_source.error", "duration_ms": 58863.93, "error": "'str' object has no attribute 'get'", "source_type": "text"}
2026-04-04 23:26:45,624 | INFO | quizmind | {"event": "embedding.provider", "provider": "remote", "model": "Qwen/Qwen3-Embedding-8B"}
2026-04-04 23:26:46,809 | INFO | quizmind | {"event": "memory.load_store.start"}
